,time_playing,Period,RTNG,GMS,Name,FideID,rtng_diff,ratio
31,153,2020-03-01,2764,7,mamedyarov,13401319,0.0,0.002532561505065123
29,154,2020-05-01,2764,0,mamedyarov,13401319,0.0,0.0
23,155,2020-11-01,2770,0,mamedyarov,13401319,6.0,0.0
24,156,2020-10-01,2770,4,mamedyarov,13401319,0.0,0.001444043321299639
25,157,2020-09-01,2764,0,mamedyarov,13401319,-6.0,0.0
18,158,2021-04-01,2770,0,mamedyarov,13401319,6.0,0.0
14,159,2021-08-01,2782,0,mamedyarov,13401319,12.0,0.0
10,160,2021-12-01,2767,8,mamedyarov,13401319,-15.0,0.0028912179255511385
20,161,2021-02-01,2770,0,mamedyarov,13401319,3.0,0.0
21,162,2021-01-01,2770,0,mamedyarov,13401319,0.0,0.0
15,163,2021-07-01,2782,9,mamedyarov,13401319,12.0,0.003235082674335011
16,164,2021-06-01,2770,0,mamedyarov,13401319,-12.0,0.0
19,165,2021-03-01,2770,0,mamedyarov,13401319,0.0,0.0
17,166,2021-05-01,2770,0,mamedyarov,13401319,0.0,0.0
11,167,2021-11-01,2765,5,mamedyarov,13401319,-5.0,0.0018083182640144665
12,168,2021-10-01,2765,6,mamedyarov,13401319,0.0,0.00216998191681736
13,169,2021-09-01,2762,13,mamedyarov,13401319,-3.0,0.004706734250543085
6,170,2022-04-01,2771,6,mamedyarov,13401319,9.0,0.0021652832912306026
2,171,2022-08-01,2758,4,mamedyarov,13401319,-13.0,0.0014503263234227702
8,172,2022-02-01,2767,0,mamedyarov,13401319,9.0,0.0
9,173,2022-01-01,2767,0,mamedyarov,13401319,0.0,0.0
3,174,2022-07-01,2759,9,mamedyarov,13401319,-8.0,0.0032620514679231605
4,175,2022-06-01,2751,13,mamedyarov,13401319,-8.0,0.004725554343874954
7,176,2022-03-01,2776,13,mamedyarov,13401319,25.0,0.004682997118155619
5,177,2022-05-01,2770,8,mamedyarov,13401319,-6.0,0.002888086642599278
0,178,2022-10-01,2747,8,mamedyarov,13401319,-23.0,0.0029122679286494356
1,179,2022-09-01,2757,8,mamedyarov,13401319,10.0,0.0029017047515415306
178,1,2000-01-01,2186,14,mvl,623539,0.0,0.006404391582799634
177,2,2000-07-01,2187,15,mvl,623539,1.0,0.006858710562414266
176,3,2000-10-01,2187,0,mvl,623539,0.0,0.0
174,4,2001-04-01,2213,1,mvl,623539,26.0,0.00045187528242205153
175,5,2001-01-01,2198,18,mvl,623539,-15.0,0.00818926296633303
173,6,2001-07-01,2277,22,mvl,623539,79.0,0.00966183574879227
172,7,2001-10-01,2271,15,mvl,623539,-6.0,0.0066050198150594455
170,8,2002-04-01,2302,11,mvl,623539,31.0,0.0047784535186794095
171,9,2002-01-01,2278,8,mvl,623539,-24.0,0.003511852502194908
169,10,2002-07-01,2358,37,mvl,623539,80.0,0.015691263782866838
168,11,2002-10-01,2358,0,mvl,623539,0.0,0.0
166,12,2003-04-01,2382,9,mvl,623539,24.0,0.003778337531486146
167,13,2003-01-01,2348,34,mvl,623539,-34.0,0.014480408858603067
165,14,2003-07-01,2386,13,mvl,623539,38.0,0.005448449287510477
164,15,2003-10-01,2412,33,mvl,623539,26.0,0.013681592039800995
162,16,2004-04-01,2434,18,mvl,623539,22.0,0.007395234182415777
163,17,2004-01-01,2427,11,mvl,623539,-7.0,0.004532344458178822
161,18,2004-07-01,2458,20,mvl,623539,31.0,0.008136696501220505
160,19,2004-10-01,2493,20,mvl,623539,35.0,0.008022462896109106
158,20,2005-04-01,2525,18,mvl,623539,32.0,0.007128712871287129
159,21,2005-01-01,2488,11,mvl,623539,-37.0,0.0044212218649517685
157,22,2005-07-01,2527,22,mvl,623539,39.0,0.008705975464978234
156,23,2005-10-01,2539,31,mvl,623539,12.0,0.012209531311539977
154,24,2006-04-01,2576,21,mvl,623539,37.0,0.008152173913043478
155,25,2006-01-01,2542,17,mvl,623539,-34.0,0.006687647521636507
153,26,2006-07-01,2577,18,mvl,623539,35.0,0.006984866123399301
152,27,2006-10-01,2579,22,mvl,623539,2.0,0.008530438154323382
150,28,2007-04-01,2593,16,mvl,623539,14.0,0.006170458927882761
151,29,2007-01-01,2573,12,mvl,623539,-20.0,0.004663816556548776
149,30,2007-07-01,2595,7,mvl,623539,22.0,0.002697495183044316
148,31,2007-10-01,2634,24,mvl,623539,39.0,0.009111617312072893
146,32,2008-04-01,2632,9,mvl,623539,-2.0,0.003419452887537994
147,33,2008-01-01,2637,8,mvl,623539,5.0,0.0030337504740235114
145,34,2008-07-01,2681,35,mvl,623539,44.0,0.013054830287206266
144,35,2008-10-01,2716,30,mvl,623539,35.0,0.011045655375552283
142,36,2009-04-01,2684,10,mvl,623539,-32.0,0.0037257824143070045
143,37,2009-01-01,2696,28,mvl,623539,12.0,0.010385756676557863
141,38,2009-07-01,2703,31,mvl,623539,7.0,0.011468738438771735
139,39,2009-11-01,2718,0,mvl,623539,15.0,0.0
140,40,2009-09-01,2718,31,mvl,623539,0.0,0.011405445180279618
138,41,2010-01-01,2730,21,mvl,623539,12.0,0.007692307692307693
135,42,2010-07-01,2723,12,mvl,623539,-7.0,0.0044069041498347415
137,43,2010-03-01,2727,9,mvl,623539,4.0,0.0033003300330033004
136,44,2010-05-01,2710,15,mvl,623539,-17.0,0.005535055350553505
133,45,2010-11-01,2703,29,mvl,623539,-7.0,0.01072881982981872
134,46,2010-09-01,2721,10,mvl,623539,18.0,0.003675119441381845
132,47,2011-01-01,2715,6,mvl,623539,-6.0,0.0022099447513812156
129,48,2011-07-01,2722,13,mvl,623539,7.0,0.004775900073475386
131,49,2011-03-01,2728,22,mvl,623539,6.0,0.008064516129032258
130,50,2011-05-01,2731,5,mvl,623539,3.0,0.001830831197363603
127,51,2011-11-01,2710,10,mvl,623539,-21.0,0.0036900369003690036
128,52,2011-09-01,2715,22,mvl,623539,5.0,0.008103130755064457
122,53,2012-08-01,2686,0,mvl,623539,-29.0,0.0
118,54,2012-12-01,2711,6,mvl,623539,25.0,0.0022132054592401327
126,55,2012-01-01,2699,13,mvl,623539,-12.0,0.004816598740274175
123,56,2012-07-01,2686,11,mvl,623539,-13.0,0.004095309009679821
125,57,2012-03-01,2682,10,mvl,623539,-4.0,0.0037285607755406414
124,58,2012-05-01,2680,18,mvl,623539,-2.0,0.006716417910447761
119,59,2012-11-01,2711,10,mvl,623539,31.0,0.0036886757654002213
120,60,2012-10-01,2705,10,mvl,623539,-6.0,0.0036968576709796672
121,61,2012-09-01,2697,21,mvl,623539,-8.0,0.00778642936596218
114,62,2013-04-01,2722,0,mvl,623539,25.0,0.0
110,63,2013-08-01,2719,0,mvl,623539,-3.0,0.0
106,64,2013-12-01,2745,11,mvl,623539,26.0,0.004007285974499089
116,65,2013-02-01,2715,12,mvl,623539,-30.0,0.004419889502762431
117,66,2013-01-01,2713,4,mvl,623539,-2.0,0.001474382602285293
111,67,2013-07-01,2719,12,mvl,623539,6.0,0.004413387274733358
112,68,2013-06-01,2706,21,mvl,623539,-13.0,0.007760532150776054
115,69,2013-03-01,2722,20,mvl,623539,16.0,0.0073475385745775165
113,70,2013-05-01,2718,11,mvl,623539,-4.0,0.004047093451066961
107,71,2013-11-01,2742,12,mvl,623539,24.0,0.00437636761487965
108,72,2013-10-01,2742,19,mvl,623539,0.0,0.006929248723559446
109,73,2013-09-01,2722,10,mvl,623539,-20.0,0.0036737692872887582
102,74,2014-04-01,2758,0,mvl,623539,36.0,0.0
98,75,2014-08-01,2768,10,mvl,623539,10.0,0.0036127167630057803
94,76,2014-12-01,2758,13,mvl,623539,-10.0,0.004713560551124003
104,77,2014-02-01,2745,0,mvl,623539,-13.0,0.0
105,78,2014-01-01,2745,0,mvl,623539,0.0,0.0
99,79,2014-07-01,2766,9,mvl,623539,21.0,0.0032537960954446853
100,80,2014-06-01,2762,5,mvl,623539,-4.0,0.0018102824040550326
103,81,2014-03-01,2758,12,mvl,623539,-4.0,0.00435097897026831
101,82,2014-05-01,2758,0,mvl,623539,0.0,0.0
95,83,2014-11-01,2751,9,mvl,623539,-7.0,0.003271537622682661
96,84,2014-10-01,2757,15,mvl,623539,6.0,0.00544069640914037
97,85,2014-09-01,2768,10,mvl,623539,11.0,0.0036127167630057803
90,86,2015-04-01,2762,2,mvl,623539,-6.0,0.000724112961622013
86,87,2015-08-01,2731,0,mvl,623539,-31.0,0.0
82,88,2015-12-01,2773,9,mvl,623539,42.0,0.0032455824017309774
92,89,2015-02-01,2775,13,mvl,623539,2.0,0.0046846846846846845
93,90,2015-01-01,2757,9,mvl,623539,-18.0,0.003264417845484222
87,91,2015-07-01,2731,16,mvl,623539,-26.0,0.005858659831563529
88,92,2015-06-01,2723,13,mvl,623539,-8.0,0.004774146162320969
91,93,2015-03-01,2765,11,mvl,623539,42.0,0.003978300180831827
89,94,2015-05-01,2754,9,mvl,623539,-11.0,0.0032679738562091504
83,95,2015-11-01,2765,16,mvl,623539,11.0,0.005786618444846293
84,96,2015-10-01,2758,9,mvl,623539,-7.0,0.0032632342277012327
85,97,2015-09-01,2744,10,mvl,623539,-14.0,0.0036443148688046646
78,98,2016-04-01,2788,1,mvl,623539,44.0,0.0003586800573888092
74,99,2016-08-01,2819,11,mvl,623539,31.0,0.0039020929407591345
70,100,2016-12-01,2804,6,mvl,623539,-15.0,0.0021398002853067048
80,101,2016-02-01,2785,0,mvl,623539,-19.0,0.0
81,102,2016-01-01,2785,9,mvl,623539,0.0,0.003231597845601436
75,103,2016-07-01,2798,10,mvl,623539,13.0,0.0035739814152966403
76,104,2016-06-01,2789,10,mvl,623539,-9.0,0.0035855145213338113
79,105,2016-03-01,2792,10,mvl,623539,3.0,0.0035816618911174787
77,106,2016-05-01,2788,0,mvl,623539,-4.0,0.0
71,107,2016-11-01,2811,0,mvl,623539,23.0,0.0
72,108,2016-10-01,2811,9,mvl,623539,0.0,0.0032017075773745998
73,109,2016-09-01,2813,9,mvl,623539,2.0,0.003199431212228937
66,110,2017-04-01,2803,0,mvl,623539,-10.0,0.0
62,111,2017-08-01,2789,7,mvl,623539,-14.0,0.002509860164933668
58,112,2017-12-01,2789,9,mvl,623539,0.0,0.0032269630692004303
68,113,2017-02-01,2796,0,mvl,623539,7.0,0.0
69,114,2017-01-01,2796,11,mvl,623539,0.0,0.003934191702432046
63,115,2017-07-01,2791,9,mvl,623539,-5.0,0.0032246506628448583
64,116,2017-06-01,2796,13,mvl,623539,5.0,0.004649499284692418
67,117,2017-03-01,2803,19,mvl,623539,7.0,0.0067784516589368534
65,118,2017-05-01,2795,7,mvl,623539,-8.0,0.0025044722719141325
59,119,2017-11-01,2796,2,mvl,623539,1.0,0.000715307582260372
60,120,2017-10-01,2794,12,mvl,623539,-2.0,0.004294917680744453
61,121,2017-09-01,2804,9,mvl,623539,10.0,0.003209700427960057
54,122,2018-04-01,2789,0,mvl,623539,-15.0,0.0
50,123,2018-08-01,2779,0,mvl,623539,-10.0,0.0
46,124,2018-12-01,2781,10,mvl,623539,2.0,0.003595828838547285
56,125,2018-02-01,2793,0,mvl,623539,12.0,0.0
57,126,2018-01-01,2793,9,mvl,623539,0.0,0.00322234156820623
51,127,2018-07-01,2779,9,mvl,623539,-14.0,0.0032385750269881253
52,128,2018-06-01,2789,4,mvl,623539,10.0,0.0014342058085335247
55,129,2018-03-01,2789,14,mvl,623539,0.0,0.005019720329867336
53,130,2018-05-01,2789,11,mvl,623539,0.0,0.003944065973467192
47,131,2018-11-01,2778,19,mvl,623539,-11.0,0.006839452843772498
48,132,2018-10-01,2780,0,mvl,623539,2.0,0.0
49,133,2018-09-01,2780,19,mvl,623539,0.0,0.006834532374100719
42,134,2019-04-01,2773,5,mvl,623539,-7.0,0.0018031013342949874
38,135,2019-08-01,2778,19,mvl,623539,5.0,0.006839452843772498
34,136,2019-12-01,2780,8,mvl,623539,2.0,0.0028776978417266188
44,137,2019-02-01,2780,0,mvl,623539,0.0,0.0
45,138,2019-01-01,2780,4,mvl,623539,0.0,0.0014388489208633094
39,139,2019-07-01,2775,9,mvl,623539,-5.0,0.003243243243243243
40,140,2019-06-01,2779,14,mvl,623539,4.0,0.005037783375314861
43,141,2019-03-01,2775,10,mvl,623539,-4.0,0.0036036036036036037
41,142,2019-05-01,2780,2,mvl,623539,5.0,0.0007194244604316547
35,143,2019-11-01,2777,16,mvl,623539,-3.0,0.005761613251710479
36,144,2019-10-01,2774,0,mvl,623539,-3.0,0.0
37,145,2019-09-01,2774,11,mvl,623539,0.0,0.003965392934390771
30,146,2020-04-01,2778,7,mvl,623539,4.0,0.0025197984161267097
26,147,2020-08-01,2778,0,mvl,623539,0.0,0.0
22,148,2020-12-01,2784,0,mvl,623539,6.0,0.0
32,149,2020-02-01,2770,0,mvl,623539,-14.0,0.0
33,150,2020-01-01,2770,10,mvl,623539,0.0,0.0036101083032490976
27,151,2020-07-01,2778,0,mvl,623539,8.0,0.0
28,152,2020-06-01,2778,0,mvl,623539,0.0,0.0
31,153,2020-03-01,2767,11,mvl,623539,-11.0,0.003975424647632815
29,154,2020-05-01,2778,0,mvl,623539,11.0,0.0
23,155,2020-11-01,2784,0,mvl,623539,6.0,0.0
24,156,2020-10-01,2784,5,mvl,623539,0.0,0.0017959770114942528
25,157,2020-09-01,2778,0,mvl,623539,-6.0,0.0
18,158,2021-04-01,2758,0,mvl,623539,-20.0,0.0
14,159,2021-08-01,2751,2,mvl,623539,-7.0,0.0007270083605961468
10,160,2021-12-01,2761,20,mvl,623539,10.0,0.007243752263672582
20,161,2021-02-01,2784,0,mvl,623539,23.0,0.0
21,162,2021-01-01,2784,0,mvl,623539,0.0,0.0
15,163,2021-07-01,2749,9,mvl,623539,-35.0,0.00327391778828665
16,164,2021-06-01,2760,0,mvl,623539,11.0,0.0
19,165,2021-03-01,2758,13,mvl,623539,-2.0,0.004713560551124003
17,166,2021-05-01,2760,7,mvl,623539,2.0,0.002536231884057971
11,167,2021-11-01,2766,5,mvl,623539,6.0,0.0018076644974692696
12,168,2021-10-01,2763,0,mvl,623539,-3.0,0.0
13,169,2021-09-01,2763,17,mvl,623539,0.0,0.006152732537097358
6,170,2022-04-01,2758,8,mvl,623539,-5.0,0.0029006526468455403
2,171,2022-08-01,2757,2,mvl,623539,-1.0,0.0007254261878853826
8,172,2022-02-01,2761,0,mvl,623539,4.0,0.0
9,173,2022-01-01,2761,0,mvl,623539,0.0,0.0
3,174,2022-07-01,2760,15,mvl,623539,-1.0,0.005434782608695652
4,175,2022-06-01,2760,11,mvl,623539,0.0,0.003985507246376811
7,176,2022-03-01,2761,0,mvl,623539,1.0,0.0
5,177,2022-05-01,2750,6,mvl,623539,-11.0,0.002181818181818182
0,178,2022-10-01,2747,8,mvl,623539,-3.0,0.0029122679286494356
1,179,2022-09-01,2757,0,mvl,623539,10.0,0.0
178,1,2000-01-01,2206,20,karjakin,14109603,0.0,0.009066183136899365
177,2,2000-07-01,2250,15,karjakin,14109603,44.0,0.006666666666666667
176,3,2000-10-01,2250,0,karjakin,14109603,0.0,0.0
174,4,2001-04-01,2262,2,karjakin,14109603,12.0,0.0008841732979664014
175,5,2001-01-01,2269,17,karjakin,14109603,7.0,0.00749228735125606
173,6,2001-07-01,2338,23,karjakin,14109603,69.0,0.009837467921300257
172,7,2001-10-01,2388,19,karjakin,14109603,50.0,0.007956448911222781
170,8,2002-04-01,2489,22,karjakin,14109603,101.0,0.008838891120932101
171,9,2002-01-01,2460,53,karjakin,14109603,-29.0,0.021544715447154472
169,10,2002-07-01,2523,26,karjakin,14109603,63.0,0.010305192231470472
168,11,2002-10-01,2527,31,karjakin,14109603,4.0,0.01226751088246933
166,12,2003-04-01,2556,22,karjakin,14109603,29.0,0.008607198748043818
167,13,2003-01-01,2547,13,karjakin,14109603,-9.0,0.005104043973301924
165,14,2003-07-01,2560,15,karjakin,14109603,13.0,0.005859375
164,15,2003-10-01,2562,19,karjakin,14109603,2.0,0.00741608118657299
162,16,2004-04-01,2580,16,karjakin,14109603,18.0,0.006201550387596899
163,17,2004-01-01,2566,15,karjakin,14109603,-14.0,0.005845674201091193
161,18,2004-07-01,2591,8,karjakin,14109603,25.0,0.0030876109610189118
160,19,2004-10-01,2576,14,karjakin,14109603,-15.0,0.005434782608695652
158,20,2005-04-01,2635,34,karjakin,14109603,59.0,0.012903225806451613
159,21,2005-01-01,2599,7,karjakin,14109603,-36.0,0.0026933435936898806
157,22,2005-07-01,2645,23,karjakin,14109603,46.0,0.008695652173913044
156,23,2005-10-01,2658,31,karjakin,14109603,13.0,0.011662904439428141
154,24,2006-04-01,2661,22,karjakin,14109603,3.0,0.008267568583239383
155,25,2006-01-01,2660,19,karjakin,14109603,-1.0,0.007142857142857143
153,26,2006-07-01,2679,22,karjakin,14109603,19.0,0.008212019410227697
152,27,2006-10-01,2672,21,karjakin,14109603,-7.0,0.007859281437125748
150,28,2007-04-01,2686,13,karjakin,14109603,14.0,0.004839910647803425
151,29,2007-01-01,2678,6,karjakin,14109603,-8.0,0.0022404779686333084
149,30,2007-07-01,2678,19,karjakin,14109603,0.0,0.007094846900672144
148,31,2007-10-01,2694,11,karjakin,14109603,16.0,0.004083147735708983
146,32,2008-04-01,2732,0,karjakin,14109603,38.0,0.0
147,33,2008-01-01,2732,36,karjakin,14109603,0.0,0.013177159590043924
145,34,2008-07-01,2727,27,karjakin,14109603,-5.0,0.009900990099009901
144,35,2008-10-01,2730,24,karjakin,14109603,3.0,0.008791208791208791
142,36,2009-04-01,2721,19,karjakin,14109603,-9.0,0.006982726938625505
143,37,2009-01-01,2706,17,karjakin,14109603,-15.0,0.006282335550628234
141,38,2009-07-01,2717,13,karjakin,14109603,11.0,0.004784688995215311
139,39,2009-11-01,2723,12,karjakin,14109603,6.0,0.0044069041498347415
140,40,2009-09-01,2722,13,karjakin,14109603,-1.0,0.004775900073475386
138,41,2010-01-01,2720,12,karjakin,14109603,-2.0,0.004411764705882353
135,42,2010-07-01,2747,11,karjakin,14109603,27.0,0.004004368401892974
137,43,2010-03-01,2725,13,karjakin,14109603,-22.0,0.0047706422018348625
136,44,2010-05-01,2739,7,karjakin,14109603,14.0,0.002555677254472435
133,45,2010-11-01,2760,16,karjakin,14109603,21.0,0.005797101449275362
134,46,2010-09-01,2747,0,karjakin,14109603,-13.0,0.0
132,47,2011-01-01,2776,20,karjakin,14109603,29.0,0.007204610951008645
129,48,2011-07-01,2788,10,karjakin,14109603,12.0,0.003586800573888092
131,49,2011-03-01,2776,0,karjakin,14109603,-12.0,0.0
130,50,2011-05-01,2776,0,karjakin,14109603,0.0,0.0
127,51,2011-11-01,2763,15,karjakin,14109603,-13.0,0.0054288816503800215
128,52,2011-09-01,2772,13,karjakin,14109603,9.0,0.00468975468975469
122,53,2012-08-01,2785,9,karjakin,14109603,13.0,0.003231597845601436
118,54,2012-12-01,2775,0,karjakin,14109603,-10.0,0.0
126,55,2012-01-01,2769,16,karjakin,14109603,-6.0,0.00577825929938606
123,56,2012-07-01,2779,0,karjakin,14109603,10.0,0.0
125,57,2012-03-01,2766,13,karjakin,14109603,-13.0,0.004699927693420101
124,58,2012-05-01,2779,7,karjakin,14109603,13.0,0.0025188916876574307
119,59,2012-11-01,2775,10,karjakin,14109603,-4.0,0.0036036036036036037
120,60,2012-10-01,2780,10,karjakin,14109603,5.0,0.0035971223021582736
121,61,2012-09-01,2778,9,karjakin,14109603,-2.0,0.0032397408207343412
114,62,2013-04-01,2786,0,karjakin,14109603,8.0,0.0
110,63,2013-08-01,2772,11,karjakin,14109603,-14.0,0.003968253968253968
106,64,2013-12-01,2756,0,karjakin,14109603,-16.0,0.0
116,65,2013-02-01,2786,13,karjakin,14109603,30.0,0.00466618808327351
117,66,2013-01-01,2780,11,karjakin,14109603,-6.0,0.003956834532374101
111,67,2013-07-01,2776,9,karjakin,14109603,-4.0,0.0032420749279538905
112,68,2013-06-01,2782,9,karjakin,14109603,6.0,0.003235082674335011
115,69,2013-03-01,2786,0,karjakin,14109603,4.0,0.0
113,70,2013-05-01,2767,17,karjakin,14109603,-19.0,0.006143838091796169
107,71,2013-11-01,2756,14,karjakin,14109603,-11.0,0.0050798258345428155
108,72,2013-10-01,2762,8,karjakin,14109603,6.0,0.002896451846488052
109,73,2013-09-01,2772,0,karjakin,14109603,10.0,0.0
102,74,2014-04-01,2772,14,karjakin,14109603,0.0,0.005050505050505051
98,75,2014-08-01,2786,0,karjakin,14109603,14.0,0.0
94,76,2014-12-01,2773,11,karjakin,14109603,-13.0,0.003966822935448972
104,77,2014-02-01,2766,11,karjakin,14109603,-7.0,0.0039768618944323935
105,78,2014-01-01,2759,8,karjakin,14109603,-7.0,0.002899601304820587
99,79,2014-07-01,2786,9,karjakin,14109603,27.0,0.003230437903804738
100,80,2014-06-01,2771,10,karjakin,14109603,-15.0,0.003608805485384338
103,81,2014-03-01,2766,0,karjakin,14109603,-5.0,0.0
101,82,2014-05-01,2770,7,karjakin,14109603,4.0,0.002527075812274368
95,83,2014-11-01,2770,11,karjakin,14109603,0.0,0.003971119133574007
96,84,2014-10-01,2767,5,karjakin,14109603,-3.0,0.0018070112034694614
97,85,2014-09-01,2777,10,karjakin,14109603,10.0,0.0036010082823190494
90,86,2015-04-01,2757,0,karjakin,14109603,-20.0,0.0
86,87,2015-08-01,2753,0,karjakin,14109603,-4.0,0.0
82,88,2015-12-01,2766,0,karjakin,14109603,13.0,0.0
92,89,2015-02-01,2760,0,karjakin,14109603,-6.0,0.0
93,90,2015-01-01,2760,9,karjakin,14109603,0.0,0.003260869565217391
87,91,2015-07-01,2753,0,karjakin,14109603,-7.0,0.0
88,92,2015-06-01,2753,11,karjakin,14109603,0.0,0.003995641118779513
91,93,2015-03-01,2757,5,karjakin,14109603,4.0,0.0018135654697134566
89,94,2015-05-01,2753,8,karjakin,14109603,-4.0,0.002905920813657828
83,95,2015-11-01,2766,22,karjakin,14109603,13.0,0.007953723788864787
84,96,2015-10-01,2762,0,karjakin,14109603,-4.0,0.0
85,97,2015-09-01,2762,15,karjakin,14109603,0.0,0.005430847212165098
78,98,2016-04-01,2779,14,karjakin,14109603,17.0,0.005037783375314861
74,99,2016-08-01,2769,10,karjakin,14109603,-10.0,0.0036114120621162874
70,100,2016-12-01,2785,12,karjakin,14109603,16.0,0.004308797127468581
80,101,2016-02-01,2769,0,karjakin,14109603,-16.0,0.0
81,102,2016-01-01,2769,10,karjakin,14109603,0.0,0.0036114120621162874
75,103,2016-07-01,2773,9,karjakin,14109603,4.0,0.0032455824017309774
76,104,2016-06-01,2774,3,karjakin,14109603,1.0,0.0010814708002883922
79,105,2016-03-01,2760,13,karjakin,14109603,-14.0,0.004710144927536232
77,106,2016-05-01,2779,0,karjakin,14109603,19.0,0.0
71,107,2016-11-01,2772,0,karjakin,14109603,-7.0,0.0
72,108,2016-10-01,2772,9,karjakin,14109603,0.0,0.003246753246753247
73,109,2016-09-01,2769,0,karjakin,14109603,-3.0,0.0
66,110,2017-04-01,2783,0,karjakin,14109603,14.0,0.0
62,111,2017-08-01,2773,0,karjakin,14109603,-10.0,0.0
58,112,2017-12-01,2760,0,karjakin,14109603,-13.0,0.0
68,113,2017-02-01,2783,13,karjakin,14109603,23.0,0.004671218109953288
69,114,2017-01-01,2785,0,karjakin,14109603,2.0,0.0
63,115,2017-07-01,2773,9,karjakin,14109603,-12.0,0.0032455824017309774
64,116,2017-06-01,2781,9,karjakin,14109603,8.0,0.003236245954692557
67,117,2017-03-01,2783,0,karjakin,14109603,2.0,0.0
65,118,2017-05-01,2783,0,karjakin,14109603,0.0,0.0
59,119,2017-11-01,2760,7,karjakin,14109603,-23.0,0.002536231884057971
60,120,2017-10-01,2765,4,karjakin,14109603,5.0,0.0014466546112115732
61,121,2017-09-01,2780,9,karjakin,14109603,15.0,0.003237410071942446
54,122,2018-04-01,2778,14,karjakin,14109603,-2.0,0.005039596832253419
50,123,2018-08-01,2773,0,karjakin,14109603,-5.0,0.0
46,124,2018-12-01,2753,0,karjakin,14109603,-20.0,0.0
56,125,2018-02-01,2763,13,karjakin,14109603,10.0,0.004705030763662686
57,126,2018-01-01,2753,9,karjakin,14109603,-10.0,0.0032691609153650564
51,127,2018-07-01,2773,8,karjakin,14109603,20.0,0.00288496213487198
52,128,2018-06-01,2782,0,karjakin,14109603,9.0,0.0
55,129,2018-03-01,2763,0,karjakin,14109603,-19.0,0.0
53,130,2018-05-01,2782,9,karjakin,14109603,19.0,0.003235082674335011
47,131,2018-11-01,2753,18,karjakin,14109603,-29.0,0.006538321830730113
48,132,2018-10-01,2760,0,karjakin,14109603,7.0,0.0
49,133,2018-09-01,2760,9,karjakin,14109603,0.0,0.003260869565217391
42,134,2019-04-01,2743,7,karjakin,14109603,-17.0,0.0025519504192489974
38,135,2019-08-01,2750,15,karjakin,14109603,7.0,0.005454545454545455
34,136,2019-12-01,2754,0,karjakin,14109603,4.0,0.0
44,137,2019-02-01,2753,0,karjakin,14109603,-1.0,0.0
45,138,2019-01-01,2753,0,karjakin,14109603,0.0,0.0
39,139,2019-07-01,2748,0,karjakin,14109603,-5.0,0.0
40,140,2019-06-01,2748,2,karjakin,14109603,0.0,0.000727802037845706
43,141,2019-03-01,2753,0,karjakin,14109603,5.0,0.0
41,142,2019-05-01,2752,9,karjakin,14109603,-1.0,0.0032703488372093025
35,143,2019-11-01,2754,17,karjakin,14109603,2.0,0.006172839506172839
36,144,2019-10-01,2760,0,karjakin,14109603,6.0,0.0
37,145,2019-09-01,2760,11,karjakin,14109603,0.0,0.003985507246376811
30,146,2020-04-01,2752,0,karjakin,14109603,-8.0,0.0
26,147,2020-08-01,2752,0,karjakin,14109603,0.0,0.0
22,148,2020-12-01,2752,0,karjakin,14109603,0.0,0.0
32,149,2020-02-01,2752,0,karjakin,14109603,0.0,0.0
33,150,2020-01-01,2752,4,karjakin,14109603,0.0,0.0014534883720930232
27,151,2020-07-01,2752,0,karjakin,14109603,0.0,0.0
28,152,2020-06-01,2752,0,karjakin,14109603,0.0,0.0
31,153,2020-03-01,2752,0,karjakin,14109603,0.0,0.0
29,154,2020-05-01,2752,0,karjakin,14109603,0.0,0.0
23,155,2020-11-01,2752,0,karjakin,14109603,0.0,0.0
24,156,2020-10-01,2752,0,karjakin,14109603,0.0,0.0
25,157,2020-09-01,2752,0,karjakin,14109603,0.0,0.0
18,158,2021-04-01,2757,0,karjakin,14109603,5.0,0.0
14,159,2021-08-01,2757,0,karjakin,14109603,0.0,0.0
10,160,2021-12-01,2743,0,karjakin,14109603,-14.0,0.0
20,161,2021-02-01,2757,0,karjakin,14109603,14.0,0.0
21,162,2021-01-01,2757,11,karjakin,14109603,0.0,0.003989844033369605
15,163,2021-07-01,2757,0,karjakin,14109603,0.0,0.0
16,164,2021-06-01,2757,0,karjakin,14109603,0.0,0.0
19,165,2021-03-01,2757,0,karjakin,14109603,0.0,0.0
17,166,2021-05-01,2757,0,karjakin,14109603,0.0,0.0
11,167,2021-11-01,2743,0,karjakin,14109603,-14.0,0.0
12,168,2021-10-01,2743,10,karjakin,14109603,0.0,0.0036456434560699965
13,169,2021-09-01,2758,14,karjakin,14109603,15.0,0.005076142131979695
6,170,2022-04-01,2747,0,karjakin,14109603,-11.0,0.0
2,171,2022-08-01,2747,0,karjakin,14109603,0.0,0.0
8,172,2022-02-01,2743,0,karjakin,14109603,-4.0,0.0
9,173,2022-01-01,2743,0,karjakin,14109603,0.0,0.0
3,174,2022-07-01,2747,0,karjakin,14109603,4.0,0.0
4,175,2022-06-01,2747,0,karjakin,14109603,0.0,0.0
7,176,2022-03-01,2747,13,karjakin,14109603,0.0,0.004732435384055333
5,177,2022-05-01,2747,0,karjakin,14109603,0.0,0.0
0,178,2022-10-01,2747,0,karjakin,14109603,0.0,0.0
1,179,2022-09-01,2747,0,karjakin,14109603,0.0,0.0
